id,category,name,decimalMap,binaryMap
174,NEW,NEW,,00111100 01111110 11111111 11111111 11111111 11111111 01111110 00111100
175,NEW,NEW,,00011000 00111100 01111110 11111111 11111111 01111110 00111100 00011000
176,NEW,NEW,,00000000 00011000 00111100 01111110 01111110 00111100 00011000 00000000
177,NEW,NEW,,00000000 00000000 00011000 00111100 00111100 00011000 00000000 00000000
178,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
179,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
180,NEW,NEW,,00000000 00000000 11111111 11111111 00000000 00000000 11111111 11111111
181,NEW,NEW,,11111111 11111111 00000000 00000000 11111111 11111111 00000000 00000000
182,NEW,NEW,,11111111 11111111 00110011 00110011 11111111 11111111 00110011 00110011
183,NEW,NEW,,11111111 11111111 11001100 11001100 11111111 11111111 11001100 11001100
184,NEW,NEW,,00111111 00111111 11001100 11001100 11111111 11111111 11001100 11001100
185,NEW,NEW,,00001111 00001111 00001100 00001100 11111111 11111111 11001100 11001100
186,NEW,NEW,,00001111 00001111 00001111 00001111 11111111 11111111 11111111 11111111
187,NEW,NEW,,11110000 11110000 11110000 11110000 00000000 00000000 00000000 00000000
188,NEW,NEW,,00000000 00000000 00001000 00001000 00001000 00001000 00000000 00000000
189,NEW,NEW,,00000000 00000000 00000000 00010000 00111000 00000000 00000000 00000000
190,NEW,NEW,,00000000 00000000 00000000 00011000 00011000 00000000 00000000 00000000
191,NEW,NEW,,00000000 00000000 00010000 00011000 00001000 00000000 00000000 00000000
192,NEW,NEW,,00000000 00000000 00001000 00011000 00010000 00000000 00000000 00000000
193,NEW,NEW,,11000011 11000000 00000000 00011000 00011000 00000000 11000010 11000011
194,NEW,NEW,,11000011 00000000 00000000 00011000 00011000 00000000 11000010 11000011
195,NEW,NEW,,11000011 11000011 00000000 00011000 00011000 00000000 01000000 11000011
196,NEW,NEW,,11000011 11000001 00000000 00011000 00011000 00000000 00000001 11000011
197,NEW,NEW,,11000011 11000011 00000000 00011000 00011000 00000000 11000011 11000011
198,NEW,NEW,,11000011 11000011 00000000 00011000 00011000 00000000 11000011 11000011
199,NEW,NEW,,11000011 11000011 00000000 00011000 00011000 00000000 11000011 11000011
200,NEW,NEW,,11000011 11000011 00100100 00011000 00011000 00100100 11000011 11000011
